,AGNFRAC,LOGZ,LOGQ,oii3726,oii3729,neiii3869,hgamma,oiii4363,heii4685,ariv4711,hbeta,oiii4959,oiii5007,hei5875,oi6300,nii6548,halpha,nii6584,sii6717,sii6731,ariii7136
378,0.16,-0.698970004336,7.227,1.27758845034,1.72851477787,0.295421029804,0.47533924034900005,0.018210545882599998,0.023344383171200002,0.000366069768883,1.0,0.430386021439,1.28406344879,0.101084329884,0.0658652952475,0.05752524939590001,2.82771547184,0.16957060536600002,0.306781708904,0.23252989652399997,0.08360493215189999
379,0.16,-0.698970004336,7.477,1.05199813404,1.41878401493,0.38286425128300006,0.47578914632299996,0.0356958482351,0.025345047426499998,0.00104938578759,1.0,0.765821800653,2.2849012595200002,0.0995677188618,0.045666303840800004,0.0437225936868,2.82058777795,0.128881977919,0.225719172757,0.171911055823,0.09087233711710001
380,0.16,-0.698970004336,7.727,0.787254656832,1.05628828604,0.47055881985200004,0.476247030879,0.056682085260699996,0.0265786348294,0.00261273284161,1.0,1.11748343543,3.3341667708499996,0.0985154394299,0.0314945618202,0.0310182522815,2.81278909864,0.0914364295537,0.161679584948,0.12393424178,0.0961182647831
381,0.16,-0.698970004336,7.977,0.558698191231,0.7440260109219999,0.553142460305,0.47671959342200004,0.0784178793523,0.0274345781117,0.00561412923388,1.0,1.43511474478,4.2817008112599995,0.0980428675148,0.0217541589065,0.0213744120711,2.8035922851099997,0.0630070393636,0.11409135389399999,0.0882351084315,0.0984058840241
382,0.16,-0.698970004336,8.227,0.386985093765,0.510338195224,0.627183843565,0.47712774483099996,0.09948389164930001,0.028070844686599997,0.0104911043436,1.0,1.70274082385,5.08030133034,0.09800929636160001,0.0153197627825,0.0146183683283,2.7948068600700005,0.0430934444623,0.080272479564,0.0627600577016,0.0968232088476
383,0.16,-0.698970004336,8.477,0.265941981534,0.34644096653800005,0.6908846833869999,0.477473642852,0.119160500295,0.028614694519000002,0.0173665771724,1.0,1.9206011394099998,5.730142099400001,0.0982090236396,0.011040861764100001,0.0100212821688,2.78760395521,0.0295406325715,0.05656800471480001,0.0447875057298,0.09099927968039999
384,0.16,-0.698970004336,8.727,0.18470314240400001,0.236976406656,0.7441860465119999,0.477807405407,0.137006784352,0.029229756640900002,0.025851081783500002,1.0,2.09484591758,6.25004219124,0.0987005096702,0.008098693759069998,0.00697674418605,2.78148310663,0.0205660377358,0.0400884328484,0.0322320855976,0.0815843656124
385,0.16,-0.698970004336,8.977,0.13292394564999999,0.167068995941,0.7880359978820001,0.47817187224299995,0.152634550909,0.030177518969499998,0.034821598729500004,1.0,2.2320098817700003,6.6592553379199995,0.0995482618669,0.0061323451561700005,0.0050379389447700006,2.77596611964,0.0148512440445,0.0290654667373,0.023852479265900003,0.07041821069349999
386,0.16,-0.698970004336,9.227,0.101979529862,0.124286731901,0.8216548569709999,0.47849885652199997,0.165043302216,0.031533385820900005,0.0426123795599,1.0,2.33232107374,6.95872230345,0.10087729164300001,0.00489821167473,0.0038754545795399997,2.77115435084,0.0114246616429,0.0220680088479,0.0186623176995,0.0599370149589
387,0.16,-0.698970004336,9.477,0.0848911290323,0.098625,0.844435483871,0.478830645161,0.173560483871,0.0333137096774,0.047975806451599996,1.0,2.39681451613,7.15120967742,0.102935483871,0.00418306451613,0.0032269758064499996,2.7673387096799997,0.0095125,0.017750403225799998,0.0157,0.0520241935484
388,0.16,-0.698970004336,9.727,0.0762568615492,0.0824779994772,0.858020388603,0.47904504661499997,0.178631175394,0.035284046353599996,0.050901803607199994,1.0,2.43312712381,7.2593012111199995,0.10605558944,0.0038001655484899994,0.0028880805088400004,2.7645290581200004,0.0085135488368,0.0149355232204,0.0140829485057,0.046980918358500004
389,0.16,-0.698970004336,9.977,0.0722789434245,0.0706725365305,0.866101536156,0.479205695017,0.181753465717,0.037145934807,0.0522620831772,1.0,2.4547115024400004,7.3239040839300005,0.110687523417,0.0036077182465300006,0.0027189490445900005,2.7630198576200002,0.00801470588235,0.012779599100799998,0.0131191457475,0.0441420007493
390,0.16,-0.52287874528,6.477,1.51861469153,2.06873357527,0.12356713803,0.475503691653,0.000675635089476,0.0112514078338,1.13743586535e-05,1.0,0.0252715554999,0.0754004505068,0.106407208109,0.225381679389,0.120673257415,2.83287448379,0.355712676761,0.836472281316,0.626235765236,0.0812789388062
391,0.16,-0.52287874528,6.727,1.72379851259,2.3415099056299997,0.18636335229000003,0.475907755765,0.0024071933004200003,0.0157746390851,4.04755952753e-05,1.0,0.08024810949319999,0.239425660896,0.10550903068600001,0.167292669208,0.124276607712,2.8278545090900002,0.366352102994,0.7028623211049999,0.5289044434719999,0.09257858883819998
392,0.16,-0.52287874528,6.977,1.82052804249,2.4679268864200004,0.26705514763300003,0.476300578035,0.00758256522418,0.0201199812529,0.000138159662553,1.0,0.22795500703000002,0.6801124824250001,0.10413372910499999,0.119921887205,0.119287611311,2.82165286674,0.35163255741300004,0.562693329167,0.425214810186,0.10390563974400001
393,0.16,-0.52287874528,7.227,1.7041820803799999,2.30600664618,0.36074362029,0.476644303718,0.018898677032999998,0.0234325036052,0.00043109285848599995,1.0,0.52084770205,1.5540159257600001,0.10279014358300001,0.0833688632516,0.102044015299,2.81469057621,0.30080882814,0.427926515769,0.324628503354,0.11432378205499999
394,0.16,-0.52287874528,7.477,1.4026538910100002,1.89270967945,0.458631449554,0.47710152236299996,0.0358811107259,0.025638100041,0.00118760046648,1.0,0.920509345353,2.7463989661799997,0.10172723547800001,0.057134302014100004,0.07797144388060001,2.8071043590599998,0.22984839411200003,0.312431052416,0.238049610742,0.122718819933
395,0.16,-0.52287874528,7.727,1.0524075721,1.4133210519600001,0.551137085504,0.477480625079,0.055085122602000006,0.027041354338700002,0.0028387434887600003,1.0,1.32721382289,3.9597890992300004,0.101013213061,0.0395629526108,0.055507559395199996,2.7996125015900004,0.16362279252999998,0.223151442002,0.17101384830400002,0.128065048914
396,0.16,-0.52287874528,7.977,0.747908854918,0.9970195173540001,0.630900874916,0.47783866935900005,0.0736051020735,0.0279662211967,0.00589077973272,1.0,1.6759285966100002,5.000160241000001,0.10061212062899999,0.0278719994872,0.0382142742685,2.79344934782,0.112649424735,0.157725218729,0.121834438996,0.12932730827199998
