,AGNFRAC,LOGZ,LOGQ,oii3726,oii3729,neiii3869,hgamma,oiii4363,heii4685,ariv4711,hbeta,oiii4959,oiii5007,hei5875,oi6300,nii6548,halpha,nii6584,sii6717,sii6731,ariii7136
715,0.5,-0.6989700043360187,8.977,0.16364485357881395,0.2045093722900407,0.7118270962577546,0.4776532586218398,0.20850176772730306,0.08582816356480556,0.041211393502768326,1.0,2.8515776132346082,8.507771329464346,0.08896004269228204,0.025871856447201656,0.006818757921419518,2.7971783069841902,0.02010006003602161,0.047965445934227205,0.037325728770595694,0.053211927156293776
716,0.5,-0.6989700043360187,9.227,0.1268976200535136,0.15387973524855655,0.7350725249964793,0.4779608505844247,0.22015913251654692,0.08900154907759471,0.04563441768764963,1.0,2.941803971271652,8.776932826362486,0.09000140825235882,0.021319884523306576,0.005452401070271793,2.789642303900859,0.016072384171243487,0.0386846922968596,0.03055520349246585,0.04430009857766512
717,0.5,-0.6989700043360187,9.477,0.10645914103963564,0.12343508864380623,0.7517973425678472,0.4782625061166108,0.22789174539842666,0.09308540670756954,0.04790529604396432,1.0,2.9953701961079537,8.937027138931759,0.09150449806150487,0.018750705762788426,0.004727669665374337,2.7843565325403703,0.013936086121880529,0.033105356269055586,0.026749727105055143,0.03809613430195355
718,0.5,-0.6989700043360187,9.727,0.09644764525004046,0.10466904029778283,0.7618546690402976,0.4785159410907914,0.2328208447968927,0.0974348600097103,0.04877407347467228,1.0,3.02342612073151,9.020472568376759,0.0937773102443761,0.017927658197119275,0.00445217672762583,2.7812752872633117,0.013123887360414309,0.03015091438744133,0.02515819711927496,0.034428305551060044
719,0.5,-0.6989700043360187,9.977,0.09272394562565353,0.09156500522830256,0.7730481003834089,0.4785203903799234,0.2380794701986755,0.10207389334262808,0.04945102823283374,1.0,3.0617811084001403,9.135151620773787,0.0977823283373998,0.01873387940048797,0.004521174625304984,2.776751481352388,0.013327378877657722,0.02937521784593935,0.025510630881840364,0.03266948414081562
720,0.5,-0.5228787452803376,6.477,2.064036503600695,2.816768065557487,0.21772100819468587,0.47373975664266205,0.0013704680903898682,0.03624906878569655,2.439502110752421e-05,1.0,0.051011919543084185,0.15219766575614602,0.11282902905388625,0.4633101564440029,0.1571579339458654,2.8500124161907125,0.4632791159672213,0.982027563943382,0.7277439781475042,0.0863887509312143
721,0.5,-0.5228787452803376,6.727,2.3175298436102287,3.1515469323544836,0.2886733088620871,0.4741355378019063,0.004931058946913846,0.04904222832289707,8.7522749005213e-05,1.0,0.16194824022949506,0.4831734476695765,0.10817113421141923,0.35605663345568955,0.15999259693389678,2.845214226225361,0.4716370029920726,0.820938338628582,0.6116166445602887,0.0968135969647429
722,0.5,-0.5228787452803376,6.977,2.368314087759816,3.21139337952271,0.3691454965357968,0.4745804464973057,0.015135950731331794,0.06139491916859121,0.00030355350269438034,1.0,0.4430177059276367,1.3217859892224788,0.1034888375673595,0.26723941493456504,0.15015858352578906,2.838152424942264,0.4426481909160893,0.6596766743648961,0.4936104695919938,0.10736566589684372
723,0.5,-0.5228787452803376,7.227,2.1150674778419445,2.859022266143726,0.4550816837034063,0.4750007720576882,0.03515333065686668,0.07103857200210001,0.0009619838794354713,1.0,0.929094221920262,2.771995923535407,0.09961705938667738,0.19878632531422746,0.12517216886445756,2.8302708378370034,0.3689818103208671,0.5097433680244587,0.3828788487075753,0.11687718106296904
724,0.5,-0.5228787452803376,7.477,1.6911449765666222,2.27514820447562,0.5416369223129209,0.4754958254446134,0.06232036996803129,0.07750395729228096,0.0026870480151463426,1.0,1.5009776839752942,4.478413358577237,0.0967658834849002,0.14823551320649306,0.09485396815543624,2.822930568918961,0.2796145131754555,0.3813277879512089,0.28765324808342896,0.1237437536857134
725,0.5,-0.5228787452803376,7.727,1.27005263817521,1.6965158541170573,0.6219451059029953,0.4760308309311944,0.09185361574132096,0.08167376864268705,0.00637767890713122,1.0,2.0337448301792205,6.067802982829927,0.09475498182729664,0.11204411580398546,0.06858942223336258,2.8161737059781933,0.20218699085098385,0.2804800100263191,0.21273969169068807,0.1263096879308184
726,0.5,-0.5228787452803376,7.977,0.91567718585307,1.211949965077148,0.6873134802209664,0.4765064448536415,0.12047114102482695,0.08436091180392406,0.012647787161089594,1.0,2.4749825385738777,7.384278366880437,0.09340593053527207,0.08556416280398756,0.048396723601498506,2.8099879357419515,0.14266620102863675,0.20442567782081406,0.15604165343831355,0.12325861959489492
727,0.5,-0.5228787452803376,8.227,0.6443020357963557,0.8438359711298832,0.7327895912224488,0.4770042398938409,0.14590089652717092,0.08635466226494481,0.02103181538660712,1.0,2.8094960675793765,8.382367220118459,0.09250736317441824,0.06584134381978833,0.033776742078518954,2.8050619801275207,0.09956306437518207,0.148930316859242,0.11441240249862444,0.11494643492895752
728,0.5,-0.5228787452803376,8.477,0.4501182505579428,0.582525565437527,0.7612671130208855,0.477565704007195,0.16717630991639185,0.08836481129875752,0.030337097365177708,1.0,3.0481662836014785,9.094633756370538,0.0919223210419373,0.05107424802638153,0.02364511508610639,2.8009393424602784,0.06970120915359249,0.1095932847007095,0.08470737150661205,0.10270477332533894
729,0.5,-0.5228787452803376,8.727,0.3221304332671059,0.4104011990658441,0.7804036390254104,0.4780577921851581,0.1838997525183869,0.09135208616542928,0.039035867405625854,1.0,3.2110216459270107,9.580326954581896,0.0916623095960124,0.04055561364983095,0.017087385409041794,2.795949667119802,0.05037122241974276,0.08307016626581616,0.06469378507441878,0.08868904458154693
730,0.5,-0.5228787452803376,8.977,0.2439377582548487,0.3034843464989018,0.7962997431411234,0.4785020288128653,0.19638164017421733,0.09575252205636003,0.04574321557532665,1.0,3.3179466180247927,9.899117745598033,0.09171350928786808,0.03370956333990991,0.013137400885976994,2.7907530804452216,0.03872612887614935,0.06618024792465473,0.05217213267319362,0.07552023228976659
731,0.5,-0.5228787452803376,9.227,0.19965911857803748,0.23929875821767715,0.8097557016475935,0.4790195601006412,0.20519032546059576,0.10183426669913156,0.04974433893352812,1.0,3.381787192598004,10.089684278873467,0.0920339258177096,0.03027716906095285,0.010974352731109487,2.787070854638422,0.032350052755458165,0.056480805129453776,0.04538592646700755,0.06526255985715446
